
 Tiempo=35.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=35.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=36.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=36.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=36.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=36.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=37.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=37.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=37.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=37.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=38.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=38.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=38.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=38.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=39.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=39.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=39.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=39.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=40.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=40.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=40.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=40.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=41.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=41.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=41.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=41.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=42.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=42.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=42.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=42.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=43.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=43.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=43.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=43.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=44.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=44.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=44.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=44.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=45.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=45.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=45.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=45.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=46.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=46.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=46.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=46.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=47.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=47.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=47.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=47.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=48.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=48.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=48.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=48.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=49.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=49.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=49.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=49.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=50.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=50.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=50.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=50.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=51.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=51.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=51.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=51.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=52.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=52.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=52.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=52.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=53.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=53.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=53.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=53.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=54.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=54.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=54.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=54.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=55.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=55.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=55.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=55.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=56.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=56.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=56.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=56.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=57.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=57.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=57.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=57.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=58.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=58.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=58.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=58.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=59.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=59.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=59.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=59.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=60.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=60.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=60.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=60.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=61.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=61.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=61.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=61.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=62.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=62.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=62.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=62.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=63.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=63.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=63.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=63.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=64.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=64.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=64.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=64.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=65.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=65.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=65.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=65.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=66.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=66.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=66.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=66.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=67.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=67.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=67.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=67.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=68.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=68.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=68.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=68.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=69.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=69.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=69.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=69.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=70.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=70.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=70.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=70.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=71.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=71.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=71.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=71.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=72.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=72.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=72.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=72.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=73.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=73.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=73.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=73.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=74.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=74.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=74.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=74.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=75.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=75.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=75.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=75.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=76.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=76.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=76.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=76.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=77.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=77.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=77.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=77.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=78.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=78.250000, -nan, -nan, -nan, -nan , -nan , -nan
